Site_ID,Site_location,Piezometer_ID/Location,Location_description,Screen_Type,EASTING,NORTHING,Lateral_DISTANCE,Elevation_seabed/groundlevel-via-Total-Station(SL)_or_laser-theodolite(KL),Stick-up height-via-Total-Station(SL)_or_laser-theodolite(KL),Stick-up height-manual-measurement,Total piezometer height-manual-measurement,Screened portion length-manual-measurement,tip-manual-measurement,Length of portion underground/seabed,Piezometer_bottom_Elevation,Measurement_elevation,
SL-A,"Simpson Lagoon, Arctic Alaska",A12D,Beach/Inter-tidal,Partially,401604.582,7824208.566,9.47,-0.035,0.903,1.275,1.6383,0.24638,0.1143,0.7353,-0.7703,-0.53281,
SL-B,"Simpson Lagoon, Arctic Alaska",B1,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401648.3,7824168.573,0,0.608,0.552,0.545,1.0287,0.24638,0.1143,0.4767,0.1313,0.36879,
SL-B,"Simpson Lagoon, Arctic Alaska",B2,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401647.585,7824170.002,1.48,0.632,0.451,0.455,1.0287,0.24638,0.1143,0.5777,0.0543,0.29179,
SL-B,"Simpson Lagoon, Arctic Alaska",B3,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401647.585,7824171.034,2.67,0.69,0.387,0.39,1.0287,0.24638,0.1143,0.6417,0.0483,0.28579,
SL-B,"Simpson Lagoon, Arctic Alaska",B4,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401647.427,7824172.066,3.84,0.693,0.196,0.215,1.0287,0.24638,0.1143,0.8327,-0.1397,0.09779,
SL-B,"Simpson Lagoon, Arctic Alaska",B5,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401647.665,7824173.177,5.01,0.629,0.302,0.32,1.0287,0.24638,0.1143,0.7267,-0.0977,0.13979,
SL-B,"Simpson Lagoon, Arctic Alaska",B6,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401647.585,7824174.129,5.81,0.573,0.313,0.315,1.0287,0.24638,0.1143,0.7157,-0.1427,0.09479,
SL-B,"Simpson Lagoon, Arctic Alaska",B7,Trough of two high-centered polygon next to the shore (Beach/Inter-tidal),Partially,401647.665,7824175.082,6.91,0.517,0.32,0.32,1.0287,0.24638,0.1143,0.7087,-0.1917,0.04579,
SL-B,"Simpson Lagoon, Arctic Alaska",B8,Beach/Inter-tidal,Partially,401647.823,7824176.431,8.01,0.408,0.428,0.44,1.0287,0.24638,0.1143,0.6007,-0.1927,0.04479,
SL-B,"Simpson Lagoon, Arctic Alaska",B9,Beach/Inter-tidal,Partially,401647.665,7824176.987,8.76,0.339,0.434,0.44,1.0287,0.24638,0.1143,0.5947,-0.2557,-0.01821,
SL-B,"Simpson Lagoon, Arctic Alaska",B10,Inter-tidal/Sub-tidal,Partially,401648.141,7824177.86,9.71,0.263,0.93,0.93,1.6383,0.24638,0.1143,0.7083,-0.4453,-0.20781,
SL-B,"Simpson Lagoon, Arctic Alaska",B11,Inter-tidal/Sub-tidal,Partially,401648.22,7824179.209,10.89,0.105,0.944,0.93,1.6383,0.24638,0.1143,0.6943,-0.5893,-0.35181,
SL-B,"Simpson Lagoon, Arctic Alaska",B12,Inter-tidal/Sub-tidal,Partially,401648.538,7824180.321,12.23,-0.035,0.968,0.965,1.6383,0.24638,0.1143,0.6703,-0.7053,-0.46781,
SL-B,"Simpson Lagoon, Arctic Alaska",B13,Inter-tidal/Sub-tidal,Partially,401648.935,7824182.305,14.02,-0.172,0.873,0.86,1.6383,0.24638,0.1143,0.7653,-0.9373,-0.69981,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-1,Beach,Fully,401006,7776754,0,0.399,-,0.63,1.234,-,0.099,0.604,0.026,0.3775,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-2,Beach,Fully,401006,7776758,2.5,0.409,-,0.52,1.234,-,0.099,0.714,-0.194,0.2125,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-3,Beach,Fully,401006,7776761,6.5,0.097,-,0.632,1.245,-,0.15,0.613,0.019,0.4005,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-4,Beach/Inter-tidal,Fully,401006,7776765,10.5,0,-,0.429,1.248,-,0.15,0.819,-0.39,0.0945,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-5,Beach/Inter-tidal,Partially,401006,7776767,12.5,-0.326,-,0.555,1.25,0.275,0.11,0.695,-0.14,0.1075,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-6,Inter-tidal/Sub-tidal,Partially,401006,7776769,14.5,-0.421,-,0.55,1.24,0.28,0.105,0.69,-0.14,0.105,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-7,Inter-tidal/Sub-tidal,Partially,401006,7776773,17.5,-0.591,-,1.12,1.79,0.285,0.08,0.67,0.45,0.6725,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-8,Inter-tidal/Sub-tidal,Partially,401007,7776779,22.5,-0.791,-,1.12,1.86,0.33,0.14,0.74,0.38,0.685,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-9,Inter-tidal/Sub-tidal,Partially,401007,7776784,28.5,-1.041,-,1.67,2.445,0.317,0.145,0.775,0.895,1.1985,
KL,"Kaktovik Lagoon, Arctic Alaska",Pz-10,Inter-tidal/Sub-tidal,Partially,401007,7776789,33.5,-0.981,-,1.11,1.81,0.27,0.11,0.7,0.41,0.655,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
